Ano;Localidade;Count;Média;Max;Min;Std;
2010;Brasil;346541.000000;38.935507;90.000000;0.000000;14.618440;
2011;Brasil;302224.000000;42.388671;93.200000;0.000000;15.661494;
2012;Brasil;469556.000000;38.019321;94.000000;0.000000;13.892578;
2013;Brasil;168941.000000;44.819209;92.400000;0.000000;14.854149;
2014;Brasil;396713.000000;44.343968;97.400000;0.000000;14.653347;
2015;Brasil;448245.000000;44.496038;95.500000;0.000000;13.976034;
2010;RO;3008.000000;36.854953;85.900000;0.000000;13.054651;
2011;RO;1381.000000;40.573715;84.400000;0.000000;15.030552;
2012;RO;2509.000000;36.858151;77.900000;0.000000;12.609087;
2013;RO;1694;42.836009445100295;83.5;1.9;12.876264317207745;
2014;RO;2609;42.20594097355309;83.1;0.0;13.6646149471725;
2015;RO;2696;42.72232937685453;86.9;0.0;13.396397707194225;
2010;AC;1276.00000;35.00000;82.700000;0.000000;12.524792;
2011;AC;878.000000;40.076651;83.500000;0.000000;13.414556;
2012;AC;771.000000;37.044617;74.300000;0.000000;12.790100;
2013;AC;588;44.295408163265286;83.6;10.5;14.070526761372104;
2014;AC;1297;38.68180416345407;79.9;0.0;12.941582020729646;
2015;AC;956;43.20355648535569;81.6;0.0;12.064909435805484;
2010;AM;6368.000000;36.138725;81.1000;0.000000;12.706413;
2011;AM;4276.000000;41.658255;85.700000;0.000000;13.413808;
2012;AM;5804.000000;36.565110;82.600000;0.000000;11.975768;
2013;AM;2683;40.961796496459144;82.3;8.4;12.986129727611113;
2014;AM;6963;39.18177509694093;86.6;0.0;13.327315645846182;
2015;AM;7329;42.42215854823313;89.5;0.0;12.76485831221259;
2010;RR;1185.000000;36.422700;79.600000;0.000000;13.688976;
2011;RR;1121.000000;41.337913;77.300000;0.000000;13.603029;
2012;RR;870.000000;35.382414;72.600000;0.000000;13.596455;
2013;RR;443;41.37088036117376;77.9;0.0;13.960465702005642;
2014;RR;1267;38.70749802683505;84.1;0.0;12.64442189388682;
2015;RR;832;42.23557692307692;86.7;0.0;13.0616213762314;
2010;PA;5456.000000;39.087812;85.800000;0.000000;15.749582; 
2011;PA;6598.000000;41.382661;89.400000;0.000000;15.726016;
2012;PA;5251.000000;37.930832;79.500000;0.000000;13.556167;
2013;PA;2215;43.30604966139957;85.6;0.0;13.12118657010369;
2014;PA;10530;40.88912630579297;87.3;0.0;14.504250411000031;
2015;PA;5470;45.53296160877504;89.5;0.0;14.113594394124997;
2010;AP;877.000000;35.701254;76.800000;0.000000;11.834250;
2011;AP;1121.000000;42.572346;15.343645;0.000000;83.700000
2012;AP;1026.000000;38.463548;73.600000;0.000000;12.175015;
